track_id,audio_path,status
2,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000002.mp3,fail:TypeError
5,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000005.mp3,fail:TypeError
10,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000010.mp3,fail:TypeError
140,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000140.mp3,fail:TypeError
141,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000141.mp3,fail:TypeError
148,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000148.mp3,fail:TypeError
182,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000182.mp3,fail:TypeError
190,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000190.mp3,fail:TypeError
193,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000193.mp3,fail:TypeError
194,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000194.mp3,fail:TypeError
197,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000197.mp3,fail:TypeError
200,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000200.mp3,fail:TypeError
203,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000203.mp3,fail:TypeError
204,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000204.mp3,fail:TypeError
207,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000207.mp3,fail:TypeError
210,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000210.mp3,fail:TypeError
211,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000211.mp3,fail:TypeError
212,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000212.mp3,fail:TypeError
213,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000213.mp3,fail:TypeError
255,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000255.mp3,fail:TypeError
256,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000256.mp3,fail:TypeError
368,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000368.mp3,fail:TypeError
424,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000424.mp3,fail:TypeError
459,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000459.mp3,fail:TypeError
534,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000534.mp3,fail:TypeError
540,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000540.mp3,fail:TypeError
546,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000546.mp3,fail:TypeError
574,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000574.mp3,fail:TypeError
602,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000602.mp3,fail:TypeError
615,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000615.mp3,fail:TypeError
620,C:\Users\sharm\Downloads\425Project\data\audio\fma_small\000\000620.mp3,fail:TypeError
